"Institute_Code";"ChoiceCode";"CourseName";"Exam";"CutoffRank";"CutoffScore"
5331;"533124510";"Computer Engineering";"JEE";20554;70.0403
3135;"313561210";"Mechanical Engineering";"JEE";20567;70.0394
6207;"620729310";"Electrical Engineering";"JEE";20583;70.0394
6780;"678024210";"Computer Science and Engineering";"JEE";20605;70.0394
5121;"512119120";"Civil Engineering";"JEE";20625;70.0394
5104;"510424510";"Computer Engineering";"JEE";20665;69.857
1114;"111424210";"Computer Science and Engineering";"JEE";20717;69.857
6155;"615599710";"Artificial Intelligence";"JEE";20769;69.6269
4167;"416761210";"Mechanical Engineering";"JEE";20790;69.5721
2114;"211491110";"Engineering(Artificial Intelligence and";"JEE";20809;69.5721
3471;"347124510";"Computer Engineering";"JEE";20882;69.5191
5162;"516237210";"Electronics and Telecommunication
Engg";"JEE";21006;69.2311
