Institute_Code,Institute_Name,City,Status,Total_Intake
6643,S K N Sinhgad College of Engineering,Solapur,Un-Aided,360
6644,Shri. Ambabai Talim Sanstha's Sanjay Bhokare Group of Institutes,Miraj,Un-Aided,300
6649,TSSM's Bhivarabai Sawant College of Engineering and Research,Pune,Un-Aided,420
6732,Ajeenkya DY Patil School of Engineering,Pune,Un-Aided,840
6754,International Institute of Information Technology (I²IT),Pune.,Un-Aided,359
6755,JSPM Narhe Technical Campus,Pune.,Un-Aided,480
6756,Fabtech Technical Campus College of Engineering and Research,Sangola,Un-Aided,360
6757,Yashoda Technical Campus,Satara.,Un-Aided,360
6758,Sahyadri Valley College of Engineering & Technology,Pune.,Un-Aided,180
6759,Shree Ramchandra College of Engineering,Pune,Un-Aided,270
6762,Nanasaheb Mahadik College of Engineering,Sangli.,Un-Aided,315
6766,Phaltan Education Society's College of Engineering Thakurki ,Satara,Un-Aided,300
6767,Suman Ramesh Tulsiani Technical Campus Faculty of Engineering,Pune.,Un-Aided,330
6768,P.K. Technical Campus,Pune.,Un-Aided,180
6769,Rasiklal M. Dhariwal Sinhgad Technical Institutes Campus,Pune.,Un-Aided,480
6770,SKN Sinhgad Institute of Technology & Science,Pune.,Un-Aided,210
6772,NBN Sinhgad Technical Institutes Campus,Pune,Un-Aided,450
6780,D.Y.Patil Education Society's,Kolhapur.,Un-Aided,360
6781,Bhagwant Institute of Technology,Barshi,Un-Aided,300
6782,Sahakar Maharshee Shankarrao Mohite Patil Institute of Technology & Research,Akluj,Un-Aided,128
6794,Anantrao Pawar College of Engineering & Research,Pune,Un-Aided,480
6795,Shri.Someshwar Shikshan Prasarak Mandal,Someshwar Nagar,Un-Aided,210
6796,Bharati Vidyapeeth's College of Engineering,Pune,Un-Aided,240
6797,Dnyanshree Institute Engineering and Technology,Satara,Un-Aided,240
6799,Shivganga Charitable Trust,Miraj,Un-Aided,150
6802,Dr. D.Y.Patil Institute of Engineering,Pune,Un-Aided,540
6803,Sant Gajanan Maharaj College of Engineering,Gadhinglaj,Un-Aided,300
6808,Keystone School of Engineering,Pune,Un-Aided,354
6811,Sanjay Ghodawat Institute,,Un-Aided,300
6815,Vidya Prasarini Sabha's College of Engineering & Technology,Lonavala,Un-Aided,120
6822,Pimpri Chinchwad Education Trust's Pimpri Chinchwad College Of Engineering And Research,Ravet,Un-Aided,480
6834,Dr.D.Y.Patil College Of Engineering & Innovation,Talegaon,Un-Aided,240
6839,Dr. D Y Patil Pratishthan's College of Engineering,Kolhapur,Un-Aided,360
6878,Dr. A. D. Shinde College Of Engineering,Kolhapur,Un-Aided,300
6901,MAEER's MIT College of Railway Engineering and Research,Barshi,Un-Aided,240
6938,Shree Siddheshwar Women's College Of Engineering,Solapur,Un-Aided,360
6991,Dr. D.Y. Patil Technical Campus,Pune,Un-Aided,360
